0	0
1.59542E-05	0.001
6.46705E-05	0.002
0.000146828	0.003
0.000263107	0.004
0.000414187	0.005
0.000600747	0.006
0.000823467	0.007
0.001083026	0.008
0.001380103	0.009
0.00171538	0.01
0.002089539	0.011
0.00250398	0.012
0.002961573	0.013
0.003465365	0.014
0.004018404	0.015
0.004623741	0.016
0.005284445	0.017
0.006004392	0.018
0.006788443	0.019
0.007641521	0.02
0.00856855	0.021
0.009574452	0.022
0.010663971	0.023
0.01183915	0.024
0.013099954	0.025
0.014446294	0.026
0.015878083	0.027
0.017395232	0.028
0.018997653	0.029
0.020685492	0.03
0.022467992	0.031
0.024366216	0.032
0.026402016	0.033
0.028597244	0.034
0.030973277	0.035
0.033533008	0.036
0.036255316	0.037
0.039117477	0.038
0.042101495	0.039
0.045238243	0.04
0.048587405	0.041
0.052202778	0.042
0.056044368	0.043
0.06	0.044
0.07	0.0463
0.08	0.0484
0.09	0.0502
0.1	0.0519
0.11	0.0535
0.12	0.0549
0.13	0.0562
0.14	0.0574
0.15	0.0586
0.16	0.0597
0.17	0.0607
0.18	0.0616
0.19	0.0625
0.2	0.0633
0.21	0.0641
0.22	0.0648
0.23	0.0654
0.24	0.066
0.25	0.0665
0.26	0.067
0.27	0.0675
0.28	0.0679
0.29	0.0683
0.3	0.0686
0.31	0.0689
0.32	0.0692
0.33	0.0694
0.34	0.0696
0.35	0.0697
0.36	0.0698
0.37	0.0699
0.38	0.0699
0.39	0.0699
0.4	0.0699
0.41	0.0698
0.42	0.0697
0.43	0.0696
0.44	0.0695
0.45	0.0693
0.46	0.0691
0.47	0.0689
0.48	0.0686
0.49	0.0683
0.5	0.068
0.51	0.0676
0.52	0.0672
0.53	0.0668
0.54	0.0663
0.55	0.0658
0.56	0.0653
0.57	0.0647
0.58	0.0641
0.59	0.0635
0.6	0.0628
0.61	0.0621
0.62	0.0613
0.63	0.0605
0.64	0.0597
0.65	0.0588
0.66	0.0579
0.67	0.0569
0.68	0.0559
0.69	0.0548
0.7	0.0537
0.71	0.0525
0.72	0.0513
0.73	0.05
0.74	0.0487
0.75	0.0473
0.76	0.0458
0.77	0.0443
0.78	0.0427
0.79	0.0411
0.8	0.0394
0.81	0.0376
0.82	0.0358
0.83	0.0339
0.84	0.0319
0.85	0.0299
0.86	0.0278
0.87	0.0256
0.88	0.0234
0.89	0.0211
0.9	0.0187
0.91	0.0162
0.92	0.0137
0.93	0.0111
0.94	0.0084
0.95	0.0056
0.96	0.0027
0.97	-0.0002
0.98	-0.0032
0.99	-0.0063
1	-0.0095

0	0
1.32537E-05	-0.0009
5.90426E-05	-0.0019
0.000138166	-0.0029
0.000251282	-0.0039
0.00039905	-0.0049
0.000582129	-0.0059
0.000801178	-0.0069
0.001056854	-0.0079
0.001349819	-0.0089
0.001680729	-0.0099
0.002050244	-0.0109
0.002459659	-0.0119
0.002911987	-0.0129
0.003410536	-0.0139
0.00395861	-0.0149
0.004559517	-0.0159
0.005216567	-0.0169
0.00593327	-0.0179
0.006713466	-0.0189
0.007561022	-0.0199
0.008479808	-0.0209
0.009473689	-0.0219
0.010546516	-0.0229
0.011701666	-0.0239
0.012942049	-0.0249
0.014270555	-0.0259
0.015690075	-0.0269
0.017203496	-0.0279
0.018813711	-0.0289
0.020523663	-0.0299
0.022340653	-0.0309
0.024279352	-0.0319
0.026355149	-0.0329
0.028583436	-0.0339
0.030979254	-0.0349
0.033544346	-0.0359
0.036263166	-0.0369
0.039119023	-0.0379
0.042099481	-0.0389
0.045236201	-0.0399
0.048586852	-0.0409
0.052203262	-0.0419
0.05604487	-0.0429
0.059999988	-0.0439
0.07	-0.0462
0.08	-0.0483
0.09	-0.0501
0.1	-0.0518
0.11	-0.0534
0.12	-0.0549
0.13	-0.0562
0.14	-0.0574
0.15	-0.0586
0.16	-0.0597
0.17	-0.0607
0.18	-0.0616
0.19	-0.0625
0.2	-0.0633
0.21	-0.0641
0.22	-0.0648
0.23	-0.0655
0.24	-0.0661
0.25	-0.0667
0.26	-0.0672
0.27	-0.0677
0.28	-0.0681
0.29	-0.0685
0.3	-0.0688
0.31	-0.0691
0.32	-0.0693
0.33	-0.0695
0.34	-0.0696
0.35	-0.0697
0.36	-0.0697
0.37	-0.0697
0.38	-0.0696
0.39	-0.0695
0.4	-0.0693
0.41	-0.0691
0.42	-0.0688
0.43	-0.0685
0.44	-0.0681
0.45	-0.0677
0.46	-0.0672
0.47	-0.0667
0.48	-0.0661
0.49	-0.0654
0.5	-0.0646
0.51	-0.0637
0.52	-0.0627
0.53	-0.0616
0.54	-0.0604
0.55	-0.0591
0.56	-0.0577
0.57	-0.0562
0.58	-0.0546
0.59	-0.0529
0.6	-0.0511
0.61	-0.0492
0.62	-0.0473
0.63	-0.0453
0.64	-0.0433
0.65	-0.0412
0.66	-0.0391
0.67	-0.037
0.68	-0.0348
0.69	-0.0326
0.7	-0.0304
0.71	-0.0282
0.72	-0.026
0.73	-0.0238
0.74	-0.0216
0.75	-0.0194
0.76	-0.0173
0.77	-0.0152
0.78	-0.0132
0.79	-0.0113
0.8	-0.0095
0.81	-0.0079
0.82	-0.0064
0.83	-0.005
0.84	-0.0038
0.85	-0.0028
0.86	-0.002
0.87	-0.0014
0.88	-0.001
0.89	-0.0008
0.9	-0.0009
0.91	-0.0012
0.92	-0.0017
0.93	-0.0025
0.94	-0.0036
0.95	-0.005
0.96	-0.0067
0.97	-0.0087
0.98	-0.011
0.99	-0.0136
1	-0.0165


